"","ID","allhazards_onset_avg_30","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","eHRAF.Name","OWC","SCCS.ID","PSF.Cluster","new PSF cases","IBSS Sample","SRS.SEQ","EA.ID","SCCS/EA concordance","New Cases to Code","Coded for hazards (total sample)","EP Used","Place Focus Used","Documents used in Hazards 2022 coding","Expanded beyond PAs (per Hazards 2022)","Potential diachronic case","Diachronic details","New PSF cases (no PAs or EP previously assigned)","Coded for TL","Region","Subsistence Type","...23","...24","...25","...26","...27","...28","DO NOT USE [SCCS.Principal.Authorities (eHRAF document IDs)]","DQ"
"65",24,2,0,20,0,5,3,"Songhai","MS20",24,NA,NA,1,NA,"Cb03","Y",NA,1,1940,"Bamba division","1, 2",NA,0,NA,NA,"1","Middle East","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 2",2
"66",26,1.84615384615385,4,20,4.5,5,3,"Hausa","MS12",26,"10",NA,1,NA,"Cb26",NA,NA,1,1900,"Zazzagawa of Zaria","9, 15, 17, 1",NA,1,"Y - Hazards; PSF (3?)",NA,"1","Middle East","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1, 9, 15(partial), 17",2
"67",51,1.95238095238095,1,20,1.5,5,3,"Rural Irish","ER06",51,NA,NA,1,NA,"Cg03","Y",NA,1,1932,"Kinvarra Parish, County Clare","16","1",0,NA,NA,"1","Europe","agro-pastoralists",NA,NA,NA,NA,NA,NA,"1, 8",3
"68",52,1.96774193548387,2,20,3.25,12,3,"Saami","EP04",52,"20",NA,1,NA,"Cg04","Y",NA,1,1950,"Konkama, Sweden","18, 23, 10, 9, 17, 2","1",1,"Y - PSF (2)",NA,"1","Europe","pastoralists",NA,NA,NA,NA,NA,NA,"3(partial), 6",3
"69",54,2,1,20,0.25,7,3,"Russians","RF10",54,NA,NA,1,NA,"Ch11","Y",NA,1,1955,"Viritatino village","86",NA,0,NA,NA,"1","Russia","commercial economy",NA,NA,NA,NA,NA,NA,"86, 87(partial), 88",2
"70",60,1.95238095238095,1,20,2,5,3,"Gond","AW32",60,NA,NA,1,NA,"Eg13","Y",NA,1,1938,"Hill Maria","2, 7, 6, 5","1",1,"Y - Hazards",NA,"1","Asia","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1, 2",3
"71",87,1.84615384615385,5,20,5,7.5,3,"Eastern Toraja","OG11",87,"34",1,NA,NA,"Ic05","Y",1,1,1910,"Bare’e subgroup","2, 3, 4, 5",NA,0,NA,NA,"1","Oceania","horticulturalists",NA,NA,NA,NA,NA,NA,"2, 3, 4, 5",1
"72",98,1.91304347826087,3,20,2,6,3,"Trobriands","OL06",98,"38",NA,1,NA,"Ig02","Y",NA,1,1914,"Kiriwina Island","38, 50, 51, 6, 7, 9, 8, 1, 4, 12, 11, 5, 10, 2, 3, 31, 52, 21, 16, 27, 30",NA,0,NA,NA,"1","Oceania","horticulturalists",NA,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16, 21, 27, 30, 31, 36(partial), 38, 50, 51, 52",2
"73",99,2,0,40,3,12,3,"Siwai","ON19",99,NA,NA,1,NA,"Ig01","Y",NA,1,1939,"Southern Bougainville, North Solomons Province, Papua New Guinea","1, 5, 3",NA,0,NA,NA,"1","Oceania","agro-pastoralists",NA,NA,NA,NA,NA,NA,"1, 3, 4, 5",2
"74",118,2,0,20,2,6,3,"Ainu","AB06",118,NA,NA,1,NA,"Ec07",NA,NA,1,1880,"Saru Basin, Hokkaido","2, 11",NA,0,NA,NA,"1","Asia","hunter-gatherers",NA,NA,NA,NA,NA,NA,"2, 3, 6, 11",1
"75",156,2,0,20,0,5,3,"Miskito","SA15",156,NA,NA,1,NA,"Sa09","Y",NA,1,1921,"Cape Gracias a Dias","1",NA,0,NA,NA,"1","South America","primarily hunter-gatherers",NA,NA,NA,NA,NA,NA,"1",1
"76",168,2,0,20,0,5,3,"Chachi","SD06",168,NA,NA,1,NA,"Sf03","Y",NA,1,1908,"Río Cayapas drainage","3",NA,0,NA,NA,"1","South America","other subsistence combinations",NA,NA,NA,NA,NA,NA,"3",2
"77",186,2,0,20,0,5,3,"Yahgan","SH06",186,NA,NA,1,NA,"Sg01","Y",NA,1,1865,"Not specified","1, 3",NA,0,NA,NA,"1","South America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1(partial), 3(partial)",2
"78",210,1.61538461538462,7,40,5,15.25,3,"Tlingit","NA12",NA,"43",1,NA,NA,"Nb22",NA,1,1,1880,"Chilkat Village, Klukwan, Southeastern Alaska","17, 20, 25, 1","De Laguna 1960 and 1972, Klein 1988, Krause 1956",1,"Y - Hazards, Y - TL",NA,"1","North America","hunter-gatherers",NA,NA,NA,NA,NA,NA,NA,3
"79",215,1.95833333333333,1,20,1,6,3,"Zapotec","NU44",NA,"50.b",1,NA,NA,"Nj10",NA,1,1,1940,"Mitla","3, 18",NA,0,NA,NA,"1","North America","horticulturalists",NA,NA,NA,NA,NA,NA,NA,2
"80",217,1.84,1,20,3,6,3,"Lau Fijians","OQ06",NA,"39",1,NA,NA,"Ih04",NA,1,1,1920,"Lau Island","9, 1, 2",NA,1,"Y - TL",NA,"1","Oceania","other subsistence combinations",NA,NA,NA,NA,NA,NA,NA,1
"81",5,NA,NA,NA,NA,NA,NA,"Ovimbundu","FP13",5,NA,NA,NA,15,"Ab05",NA,1,1,1890,"Not specified","1, 9","1",1,"Y - Hazards",NA,"1","Africa","horticulturalists",NA,NA,NA,NA,NA,NA,"1(partial)",NA
"82",22,NA,NA,NA,NA,NA,NA,"Bambara","FA08",22,NA,NA,1,NA,"Ag01",NA,NA,1,1902,"Segou to Bamako on the Niger River","4, 2","1",1,"Y - Hazards",NA,"1","Africa","other subsistence combinations",NA,NA,NA,NA,NA,NA,"2, 4",NA
"83",28,NA,NA,NA,NA,NA,NA,"Azande","FO07",28,"5",1,NA,NA,"Ai03",NA,1,1,1905,"Yambio chiefdom","56, 35, 66, 65, 64, 67, 68, 8, 60","Baxter and Butt 1953, Evans-Pritchard (6 sources)",1,"Y - TL; N - PSF",NA,"1","Africa","horticulturalists",NA,NA,NA,NA,NA,NA,"35, 56, 64, 65, 66, 67, 68",NA
"84",29,NA,NA,NA,NA,NA,NA,"Fur","MQ08",29,NA,NA,1,NA,"Cb17","Y",NA,1,1880,"Jebel Marra","2","1",1,"Y - Hazards",NA,"1","Middle East","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"2(partial), 4, 7(partial)",NA
"85",32,NA,NA,NA,NA,NA,NA,"Mao","MP19",32,NA,NA,1,NA,"Ai47","Y",NA,1,1939,"Northern division","1",NA,0,NA,NA,"1","Middle East","horticulturalists",NA,NA,NA,NA,NA,NA,"1, 2(partial)",NA
"86",42,NA,NA,NA,NA,NA,NA,"Berbers of Morocco","MX03",42,NA,NA,1,NA,"Cd03","Y",NA,1,1926,"Entirety, Moroccan","1, 9","1",0,NA,NA,"1","Middle East","agro-pastoralists",NA,NA,NA,NA,NA,NA,"1, 9",NA
"87",55,NA,NA,NA,NA,NA,NA,"Abkhazians","RI03",55,NA,NA,1,NA,"Ci12","Y",NA,1,1880,"Not specified","1",NA,0,NA,NA,"1","Russia","agro-pastoralists",NA,NA,NA,NA,NA,NA,"1",NA
"88",57,NA,NA,NA,NA,NA,NA,"Kurds","MA11",57,"21",NA,1,NA,"Ci11",NA,NA,1,1951,"Town and vicinity of Rowanduz","7, 5, 4, 12, 8, 2","1",0,"N - PSF",NA,"1","Middle East","pastoralists",NA,NA,NA,NA,NA,NA,"2, 8",NA
"89",63,NA,NA,NA,NA,NA,NA,"Uttar Pradesh","AW19",63,NA,NA,1,NA,"Ef11","Y",NA,1,1945,"Village and vicinity of Senapur","9, 4, 3, 5, 12",NA,0,NA,NA,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"3, 5",NA
"90",65,NA,NA,NA,NA,NA,NA,"Kazakh","RQ02",65,NA,NA,1,NA,"Eb01",NA,NA,1,1885,"Great Horde","2","1",0,NA,NA,"1","Russia","pastoralists",NA,NA,NA,NA,NA,NA,"2, 4",NA
"91",66,NA,NA,NA,NA,NA,NA,"Mongolia","AH01",66,NA,NA,1,NA,"Eb03",NA,NA,1,1920,"Narobanchin Territory","22, 20, 25, 13, 12, 17, 10, 14, 9, 21, 16","1",1,"Y - Hazards",NA,"1","Asia","pastoralists",NA,NA,NA,NA,NA,NA,"16",NA
"92",68,NA,NA,NA,NA,NA,NA,"Lepcha","AK05",68,NA,NA,1,NA,"Ee03","Y",NA,1,1937,"Lingthem and vicinity","1",NA,0,NA,NA,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 2",NA
"93",69,NA,NA,NA,NA,NA,NA,"Garo","AR05",69,"27",1,NA,NA,"Ei01",NA,1,1,1955,"Village and environs of Rengsanggri","1, 2","1",1,"Y - PSF (2)",NA,"1","Asia","horticulturalists",NA,NA,NA,NA,NA,NA,"1, 3",NA
"94",71,NA,NA,NA,NA,NA,NA,"Burmans","AP04",71,NA,NA,1,NA,"Ei03","Y",NA,1,1965,"Nondwin village
",NA,NA,0,NA,NA,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"2(caution), 23, 34",NA
"95",73,NA,NA,NA,NA,NA,NA,"Vietnamese","AM11",73,NA,NA,1,NA,"Ej04",NA,NA,1,1930,"Red River Delta in Tonkin","1",NA,0,NA,NA,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1",NA
"96",79,NA,NA,NA,NA,NA,NA,"Andamans","AZ02",79,"31",1,NA,NA,"Eh01",NA,1,1,1860,"Aka-Bea tribe of South Andaman","2, 1",NA,1,"Y - PSF (2)",NA,"1","Asia","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1(partial), 2(partial)",NA
"97",84,NA,NA,NA,NA,NA,NA,"Balinese","OF07",84,NA,NA,1,NA,"Ib03","Y",NA,1,1958,"Tihingan village","2, 24, 25","1",0,NA,NA,"1","Oceania","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"4, 6, 7, 9(partial), 24",NA
"98",86,NA,NA,NA,NA,NA,NA,"Sama-Bajau","OA08",86,NA,NA,1,NA,"Ia13","Y",NA,1,1963,"Tawi-Tawi Bajau (boat-dwelling Bajau), Tawi-Tawi province, Bangsamoro Autonomous Region in Muslim Mindanao","3, 1, 11","1",0,NA,NA,"1","Oceania","primarily hunter-gatherers",NA,NA,NA,NA,NA,NA,"1, 2, 3(partial), 4, 5, 6, 7",NA
"99",90,NA,NA,NA,NA,NA,NA,"Tiwi","OI20",90,NA,NA,1,NA,"Id03","Y",NA,1,1929,"Melville Island","1",NA,0,NA,NA,"1","Oceania","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1(partial), 3",NA
"100",96,NA,NA,NA,NA,NA,NA,"Manus","OM06",96,NA,NA,1,NA,"Ig09","Y",NA,1,1929,"Village of Peri, Manus Province, Papua New Guinea","9, 3, 4, 2","1",0,NA,NA,"1","Oceania","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1, 2(partial), 3(partial), 4, 5, 6, 7",NA
"101",104,NA,NA,NA,NA,NA,NA,"Maori","OZ04",104,NA,NA,1,NA,"Ij02","Y",NA,1,1820,"Nga Puhi tribe","1, 2, 3, 4, 6, 11","1",0,NA,NA,"1","Oceania","primarily hunter-gatherers",NA,NA,NA,NA,NA,NA,"1, 3, 4, 6",NA
"102",106,NA,NA,NA,NA,NA,NA,"Samoans","OU08",106,NA,NA,1,NA,"Ii14","Y",NA,1,1829,"Aana kingdom of western Upolu Island","17, 16","1",1,"Y - Hazards",NA,"1","Oceania","horticulturalists",NA,NA,NA,NA,NA,NA,"16",NA
"103",119,NA,NA,NA,NA,NA,NA,"Nivkh","RX02",119,NA,NA,1,NA,"Ec01",NA,NA,1,1890,"Sakhalin Island","1",NA,0,NA,NA,"1","Russia","primarily hunter-gatherers",NA,NA,NA,NA,NA,NA,"1",NA
"104",127,NA,NA,NA,NA,NA,NA,"Ojibwa","NG06",127,"42",1,NA,NA,"Na33",NA,1,1,1930,"Berens River, little Grand Rapids, and Pekangekum bands","21, 76, 58, 69","1",1,"Y - PSF (3)",NA,"1","North America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"4, 21, 58(partial), 59, 67, 76, 77, 78",NA
"105",131,NA,NA,NA,NA,NA,NA,"Haida","NE09",131,NA,NA,1,NA,"Nb01","Y",NA,1,1875,"Town of Masset","3, 4, 2, 1",NA,0,NA,NA,"1","North America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1, 2, 3, 4, 7(partial)",NA
"106",132,NA,NA,NA,NA,NA,NA,"Nuxalk","NE06",132,NA,NA,1,NA,"Nb09","Y",NA,1,1880,"Central village, lower Bella Coola River","6, 7, 9, 12, 1, 2, 0","1",0,NA,NA,"1","North America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1, 2, 6, 7",NA
"107",135,NA,NA,NA,NA,NA,NA,"Pomo","NS18",135,NA,NA,NA,4,"Nc18","Y",1,1,1850,"Cignon village, Clear Lake",NA,NA,0,NA,NA,"1","North America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1, 3, 7",NA
"108",136,NA,NA,NA,NA,NA,NA,"Yokuts","NS29",136,NA,NA,NA,12,"Nc24","Y",1,1,1850,"Tulare Lake",NA,NA,1,"Y - TL",NA,"1","North America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1(partial), 10",NA
"109",141,NA,NA,NA,NA,NA,NA,"Hidatsa","NQ14",141,NA,NA,1,NA,"Ne15",NA,NA,1,1836,"Not specified","5, 4, 1","1",0,NA,NA,"1","North America","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1(caution), 2(partial), 4, 8, 9(partial), 11(partial)",NA
"110",142,NA,NA,NA,NA,NA,NA,"Pawnee","NQ18",142,"46",NA,1,NA,"Nf06","Y",NA,1,1867,"Skidi band","2","1",0,"N - PSF",NA,"1","North America","primarily hunter-gatherers",NA,NA,NA,NA,NA,NA,"14",NA
"111",151,NA,NA,NA,NA,NA,NA,"O'odham","NU79",151,NA,NA,1,NA,"Ni02",NA,NA,1,1910,"Archie division","22, 5, 21, 2","1",1,"Y - Hazards",NA,"1","North America","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1(partial), 2(partial), 3(partial)",NA
"112",158,NA,NA,NA,NA,NA,NA,"Kuna","SB05",158,"51",1,NA,NA,"Sa01","Y",1,1,1927,"San Blas Archipelago","14, 21, 13, 5, 11, 8, 9, 1, 28, 29, 6, 3, 4",NA,1,"Y - PSF (3)",NA,"1","South America","horticulturalists",NA,NA,NA,NA,NA,NA,"1, 3, 4, 5, 6, 8, 9, 11, 13, 14, 21, 28, 29",NA
"113",160,NA,NA,NA,NA,NA,NA,"Haitians","SV03",160,NA,NA,1,NA,"Sb09","Y",NA,1,1935,"Town of Mirebalais","2, 1, 0, 3, 11, 4","1",1,"Y - Hazards",NA,"1","South America","commercial economy",NA,NA,NA,NA,NA,NA,"1",NA
"114",162,NA,NA,NA,NA,NA,NA,"Warao","SS18",162,NA,NA,1,NA,"Sc01","Y",NA,1,1935,"Orinoco Delta, e.g., Winikina","6",NA,0,NA,NA,"1","South America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"6",NA
"115",163,NA,NA,NA,NA,NA,NA,"Yanoama","SQ18",163,"60",1,NA,NA,"Sd09",NA,1,1,1965,"Shamatari tribe","7, 10, 11, 5",NA,0,NA,NA,"1","South America","horticulturalists",NA,NA,NA,NA,NA,NA,"5, 10, 11",NA
"116",164,NA,NA,NA,NA,NA,NA,"Barama River Carib","SR09",164,NA,NA,1,NA,"Sc03","Y",NA,1,1932,"Not specified","2, 1","1",0,NA,NA,"1","South America","primarily hunter-gatherers",NA,NA,NA,NA,NA,NA,"1",NA
"117",165,NA,NA,NA,NA,NA,NA,"Saramaka","SR15",165,"59",NA,1,NA,"Sc06","Y",NA,1,1928,"Upper Suriname River","6, 4, 5, 1, 2","1",0,NA,NA,"1","South America","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1, 2, 6",NA
"118",173,NA,NA,NA,NA,NA,NA,"Sirionó","SF21",173,NA,NA,1,NA,"Se01","Y",NA,1,1942,"Vicinity of the Rio Blanco","1",NA,0,NA,NA,"1","South America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1, 2",NA
"119",179,NA,NA,NA,NA,NA,NA,"Xavante","SP26",179,NA,NA,1,NA,"Sj11","Y",NA,1,1958,"Village of Sao Domingo","1, 5",NA,0,NA,NA,"1","South America","primarily hunter-gatherers",NA,NA,NA,NA,NA,NA,"1",NA
"120",181,NA,NA,NA,NA,NA,NA,"Guaraní","SM04",181,"56",1,NA,NA,"Sj10",NA,1,1,1890,"Southern Mato Grosso","1, 5, 9",NA,0,NA,NA,"1","South America","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1, 5",NA
"121",202,NA,NA,NA,NA,NA,NA,"Khasi","AR07",NA,"29",1,NA,NA,"Ei08",NA,1,1,1900,"Khasi District, Meghalaya, India","1, 20, 15, 22","1",1,"Y - PSF (2)",NA,"1","Asia","other subsistence combinations",NA,NA,NA,NA,NA,NA,NA,NA
"122",203,NA,NA,NA,NA,NA,NA,"Sinhalese","AX04",NA,"22",1,NA,NA,"Eh06",NA,1,1,1950,"Kandyan Region
","4, 1, 8, 7",NA,0,"N - PSF",NA,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,NA,NA
"123",204,NA,NA,NA,NA,NA,NA,"Serbs","EF06",NA,"19",1,NA,NA,"Ch01",NA,1,1,1950,"Orasac Village, Serbia, Yugoslavia","25",NA,0,NA,NA,"1","Europe","intensive agriculturalists",NA,NA,NA,NA,NA,NA,NA,NA
"124",207,NA,NA,NA,NA,NA,NA,"Kanuri","MS14",NA,"14",1,NA,NA,"Cb19",NA,1,1,1870,"Not specified","3, 8, 2",NA,0,"N - PSF",NA,"this was improperly logged as not coded for hazards, but it was coded","Middle East","intensive agriculturalists",NA,NA,NA,NA,NA,NA,NA,NA
"125",211,NA,NA,NA,NA,NA,NA,"Blackfoot","NF06",NA,"45",1,NA,NA,"Ne12",NA,1,1,1850,"Blackfeet Indian Reservation, Montana, United States","9, 8, 11, 5, 21, 54, 2, 23, 6",NA,1,"Y - Hazards; N - PSF",NA,"1","North America","hunter-gatherers",NA,NA,NA,NA,NA,NA,NA,NA
"126",212,NA,NA,NA,NA,NA,NA,"Iroquois","NM09",NA,"47",1,NA,NA,"Ng10",NA,1,1,1750,"Iroquois Reservations","1, 2",NA,1,"Y - PSF (DK)",NA,"1","North America","horticulturalists",NA,NA,NA,NA,NA,NA,NA,NA
"127",213,NA,NA,NA,NA,NA,NA,"Hopi","NT09",NA,"48",1,NA,NA,"Nh18",NA,1,1,1920,"Southwest and Basin","3, 1",NA,1,"Y - TL",NA,"1","North America","intensive agriculturalists",NA,NA,NA,NA,NA,NA,NA,NA
"128",214,NA,NA,NA,NA,NA,NA,"Tarahumara","NU33",NA,"49",1,NA,NA,"Ni01",NA,1,1,1930,"Not Specified","1, 13, 10, 16, 14, 12","1",1,"Y - PSF (3)",NA,"1","North America","agro-pastoralists",NA,NA,NA,NA,NA,NA,NA,NA
"129",218,NA,NA,NA,NA,NA,NA,"Yakut","RV02",NA,"23",1,NA,NA,"Ec02",NA,1,1,1900,"Siberia, Russia","2, 1, 24","1",0,NA,NA,"1","Russia","other subsistence combinations",NA,NA,NA,NA,NA,NA,NA,NA
"130",219,NA,NA,NA,NA,NA,NA,"Kogi","SC07",NA,"52",1,NA,NA,"Sb02",NA,1,1,1949,"Sierra Nevada De Santa Marta, Colombia","1, 2, 5","Reichel-Dolomatoff and Muirden 1950, 1951; Park 1965",0,NA,NA,"1","South America","horticulturalists",NA,NA,NA,NA,NA,NA,NA,NA
"131",221,NA,NA,NA,NA,NA,NA,"Mataco","SI07",NA,"55",1,NA,NA,"Sh01",NA,1,1,1860,"Gran Chaco region, Bolivia and Argentina","9, 2, 1","1",1,"Y - Hazards",NA,"1","South America","primarily hunter-gatherers",NA,NA,NA,NA,NA,NA,NA,NA
"132",223,NA,NA,NA,NA,NA,NA,"Bororo","SP08",NA,"57",1,NA,NA,"Si01",NA,1,1,1920,"Kejara","5, 1",NA,0,NA,NA,"1","South America","hunter-gatherers",NA,NA,NA,NA,NA,NA,NA,NA
